cap_gap,cap_width,finger_count,finger_length,bottom_to_bottom,bottom_to_ground,ground_to_ground,top_to_bottom,top_to_ground,top_to_top
2.1,8.9,3.0,15.9,26.46046,21.35882,69.79297,4.81231,16.38278,21.41046
2.1,4.9,8.0,35.9,51.87182,31.14699,83.45549,20.28146,19.29549,39.85137
2.1,10.9,10.0,35.9,106.57215,67.25531,135.1273,38.27829,31.09866,69.89445
4.1,6.9,3.0,15.9,22.17553,18.83528,66.35541,3.07264,15.72419,19.04266
2.1,12.9,2.0,15.9,27.12047,23.00972,71.48547,3.79838,15.82373,19.84318
4.1,8.9,3.0,45.9,31.202,23.4293,79.61384,7.49624,22.94208,30.73056
2.1,14.9,8.0,45.9,118.36966,75.11496,148.90255,42.61502,35.06382,78.19266
2.1,8.9,7.0,35.9,64.03842,40.45581,100.97198,23.08347,25.88827,49.3486
4.1,6.9,7.0,35.9,51.09989,34.86894,93.9668,15.65333,25.06271,41.00964
2.1,4.9,4.0,25.9,26.98623,19.84377,66.81403,6.82474,14.83177,21.90631
2.1,6.9,3.0,45.9,28.72173,19.65355,72.82925,8.71828,20.63552,29.65902
4.1,10.9,9.0,35.9,88.73307,61.14529,132.19017,26.62797,34.56668,61.77084
2.1,8.9,8.0,25.9,67.61721,46.09617,104.08419,20.91871,22.9552,44.2143
2.1,12.9,5.0,35.9,61.53999,41.88171,104.64381,19.11063,27.29126,46.80966
4.1,10.9,6.0,25.9,58.69293,44.84271,103.73762,13.25351,23.93976,37.54838
4.1,6.9,8.0,25.9,54.22189,39.69946,96.0656,14.01385,22.1918,36.55562
2.1,12.9,10.0,15.9,99.76355,74.05123,142.43882,24.9621,30.43514,55.84737
4.1,6.9,4.0,35.9,34.32427,26.03247,76.80847,7.95492,18.25626,26.48633
2.1,4.9,7.0,25.9,39.26299,25.60977,76.93487,13.26426,18.78988,32.30708
2.1,12.9,9.0,25.9,97.62656,67.18904,137.21136,29.59837,32.87609,62.9167
2.1,12.9,1.0,15.9,17.1655,15.68268,63.34284,1.239,15.81197,17.28969
2.1,8.9,4.0,35.9,41.73053,29.47406,82.08584,11.81992,18.98285,31.04742
2.1,6.9,4.0,25.9,32.41883,23.99505,72.50813,8.11639,16.18172,24.53035
4.1,4.9,7.0,35.9,41.48739,27.93146,83.36954,13.082,22.1943,35.62424
4.1,12.9,9.0,35.9,100.88082,70.82593,146.40489,29.34007,37.89699,68.02742
2.1,4.9,3.0,45.9,24.57615,16.89179,67.63227,7.40428,19.04515,26.73411
2.1,14.9,7.0,15.9,80.46316,60.60069,125.75437,18.97173,28.83436,48.19483
2.1,8.9,10.0,45.9,101.78691,58.96084,124.89715,42.2832,29.25596,72.09757
2.1,10.9,2.0,15.9,24.29283,20.67181,67.67012,3.28919,14.894870000000001,18.43139
4.1,8.9,4.0,25.9,36.61767,29.02856,80.82606,7.15683,18.56668,25.95121
4.1,4.9,3.0,15.9,18.69593,16.03266,61.88755,2.43868,14.58455,17.24452
4.1,8.9,8.0,35.9,71.23893,49.60132,111.19968,20.91743,26.73863,48.11524
2.1,14.9,3.0,35.9,43.38465,32.01654,91.162,10.99281,24.68966,36.11317
4.1,12.9,5.0,25.9,54.87869,42.33799,103.60583,12.01876,26.22814,38.61105
2.1,10.9,6.0,35.9,67.20976,44.96409,103.69355,21.60242,23.96784,45.97905
2.1,6.9,8.0,35.9,63.67936,39.37439,95.55975,23.74643,21.84158,45.89577
4.1,10.9,2.0,45.9,29.34703,24.48174,75.6752,4.53948,18.66673,23.48549
4.1,8.9,10.0,15.9,71.37209,55.66525,117.58023,15.02494,26.26753,41.72125
4.1,6.9,7.0,25.9,46.62414,34.01106,90.88983,12.05876,22.7693,35.09611
2.1,4.9,4.0,35.9,30.13538,20.974,68.63967,8.85329,15.95334,25.08625
4.1,10.9,9.0,25.9,81.80706,60.05367,128.13669,20.90266,31.95145,53.29088
4.1,10.9,1.0,15.9,15.72347,14.73961,61.36424,0.7526700000000001,15.35903,16.35627
2.1,8.9,7.0,25.9,58.13756,39.59488,97.57854,18.02031,23.59893,41.93267
2.1,10.9,10.0,25.9,96.50902,65.62173,131.70733,29.9822,29.21199,59.60453
2.1,14.9,4.0,45.9,63.57027,44.27985,105.24402,18.855620000000002,25.2778,44.51114
2.1,12.9,6.0,25.9,69.33348,49.92127,110.02131,18.88406,24.69211,43.88211
4.1,10.9,5.0,35.9,51.79517,37.6772,98.75684,13.51533,26.36033,40.28428
2.1,10.9,1.0,45.9,15.81649,14.598,67.27407,1.02396,20.59449,21.93432
2.1,4.9,8.0,25.9,45.61628,29.71075,80.7215,15.42003,17.87203,33.54456
4.1,10.9,10.0,35.9,100.99499,70.01176,140.8091,29.90875,33.77716,64.22991
2.1,6.9,3.0,15.9,22.66941,18.37111,65.61429,4.06133,15.17908,19.48546
4.1,12.9,6.0,35.9,72.33644,53.25255,117.17287,18.53828,27.97364,46.86221
2.1,10.9,5.0,25.9,50.16643,35.79538,93.10833,13.8043,22.90912,36.96873
2.1,14.9,8.0,15.9,92.40274,69.55477,136.39377,21.8882,29.51675,51.76407
4.1,8.9,3.0,15.9,25.9545,21.93497,71.44312,3.6992,16.95696,20.89102
2.1,12.9,2.0,45.9,33.3841,26.48443,79.58563,6.57598,19.30548,26.15101
4.1,4.9,8.0,35.9,48.64614,32.84775,87.27176,15.25605,21.23707,36.79751
2.1,6.9,7.0,35.9,54.14945,33.24873,90.71251,20.35327,23.24465,43.96034
4.1,4.9,4.0,25.9,25.97407,20.52599,67.88938,5.07219,15.58455,20.90878
4.1,6.9,3.0,45.9,27.16464,20.23212,74.01179,6.56601,21.33982,28.19186
2.1,10.9,9.0,35.9,93.82171,58.72717,126.88261,34.12923,32.12281,66.80371
2.1,8.9,3.0,45.9,32.89534,22.7807,78.13574,9.79881,22.27823,32.34899
4.1,12.9,2.0,15.9,26.54601,23.32391,71.74121,2.89923,16.19554,19.32512
4.1,8.9,7.0,35.9,60.58001,42.0134,104.08413,17.97394,27.7199,46.11426
4.1,12.9,5.0,35.9,58.66596,43.24548,107.35613,14.95974,28.63447,44.03905
2.1,10.9,6.0,25.9,61.11987,43.50722,100.94519,17.02903,22.41694,39.78342
2.1,6.9,8.0,25.9,56.63561,37.85762,92.33922,18.25901,20.30224,38.8306
2.1,12.9,1.0,45.9,17.13137,15.69889,70.07943,1.22772,21.44816,22.98842
4.1,8.9,8.0,25.9,64.90448,47.97853,107.89847,16.23322,25.02775,41.64428
2.1,14.9,3.0,25.9,40.96945,31.37007,87.33179,9.07564,22.47392,31.90605
2.1,12.9,10.0,45.9,131.29527,80.0963,155.47275,50.55218,36.42698,87.59318
4.1,12.9,1.0,15.9,16.93667,15.78091,63.47487,0.90012,15.95194,17.08254
4.1,8.9,4.0,35.9,39.88134,30.32406,83.80945,9.09466,19.90921,29.25567
2.1,6.9,4.0,35.9,35.98982,25.21932,75.18223,10.44906,17.41241,28.13024
4.1,12.9,10.0,15.9,97.14587,76.43402,147.31121,19.87346,33.05314,53.42721
4.1,4.9,7.0,25.9,37.47046,27.03457,80.24099,9.97269,20.16897,30.43001
4.1,12.9,9.0,25.9,93.7235,69.50327,141.61048,23.4008,35.15164,59.18163
4.1,8.9,10.0,45.9,94.83218,61.34661,130.03986,32.94915,32.04932,65.61299
4.1,10.9,2.0,15.9,23.9349,21.0961,68.1567,2.51389,15.29043,18.04935
2.1,8.9,4.0,25.9,37.88193,28.15066,79.13415,9.30659,17.668,27.1945
4.1,6.9,4.0,25.9,31.29985,24.78678,74.0817,6.18202,16.98248,23.40669
2.1,4.9,7.0,35.9,44.14605,26.38904,79.36719,17.40717,20.75462,38.46114
2.1,12.9,9.0,35.9,106.57317,68.28606,141.39604,37.29955,35.54218,73.37724
4.1,4.9,3.0,45.9,23.19039,17.38452,68.42232,5.4661100000000005,19.65256,25.41247
2.1,12.9,5.0,25.9,56.94409,41.13124,101.19215,15.31036,24.95066,40.60651
4.1,10.9,6.0,35.9,63.94746,46.46583,107.19569,16.80511,25.5367,42.78673
4.1,6.9,8.0,35.9,60.05069,41.30434,99.29401,18.22424,23.846,42.48369
2.1,10.9,2.0,45.9,30.37345,24.07294,75.0027,5.98869,18.25951,24.51611
2.1,8.9,10.0,15.9,73.03327,53.33514,112.89129,19.12899,23.81535,43.32383
2.1,4.9,3.0,15.9,19.13493,15.63556,61.43013,3.28636,14.12686,17.63425
2.1,14.9,7.0,45.9,100.53028,63.26576,137.61996,36.63689,36.79172,74.02081
2.1,8.9,8.0,35.9,75.1979,47.76272,107.61168,26.86204,24.57381,51.8458
4.1,12.9,7.0,15.9,69.08778,54.92867,118.86767,13.49506,28.00275,41.9297
2.1,8.9,6.0,45.9,64.29331,40.00827,98.40938,23.72347,23.29129,47.23478
2.1,14.9,9.0,35.9,119.02188,78.03685,156.20148,40.40712,39.00616,80.02956
2.1,4.9,10.0,15.9,46.96253,33.29626,84.93111,13.3115,17.90785,31.528950000000002
4.1,8.9,2.0,35.9,24.65818,20.95509,69.60007,3.36997,16.54064,20.18121
4.1,4.9,9.0,15.9,40.94451,31.61651,84.90052,9.00477,20.06025,29.38499
4.1,4.9,1.0,25.9,12.73545,12.20109,58.69363,0.36961000000000005,15.06019,15.61458
4.1,10.9,8.0,45.9,89.28971,60.25609,128.2302,28.4093,31.33118,60.28566
2.1,6.9,2.0,35.9,22.68055,18.49297,65.89308,3.90318,15.35085,19.49198
4.1,6.9,6.0,45.9,51.77186,35.13461,91.8723,16.17966,22.4778,39.07466
2.1,4.9,9.0,45.9,61.84841,32.38111,89.92307,28.884430000000002,24.22677,53.55665
4.1,12.9,3.0,35.9,37.55535,29.42624,87.5467,7.816,23.95523,32.18283
4.1,4.9,10.0,45.9,65.40411,40.10263,98.51819,24.62746,24.99255,50.09847
2.1,12.9,7.0,45.9,90.80272,56.16016,127.07215,33.99204,33.87681,68.3859
4.1,8.9,6.0,15.9,45.96228,36.87397,91.20479,8.53985,20.05809,28.887340000000002
2.1,6.9,6.0,15.9,39.04558,29.50639,79.86311,9.29207,16.77056,26.33959
2.1,14.9,5.0,25.9,63.863,46.37482,108.49297,16.8684,27.08055,44.23756
2.1,10.9,8.0,15.9,70.77807,52.77439,112.64368,17.3212,23.96441,41.60466
2.1,12.9,3.0,25.9,36.67479,28.12893,82.70027,8.18535,21.06224,29.54753
2.1,10.9,4.0,45.9,51.73378,35.2651,91.43263,15.99216,21.82097,38.15087
2.1,4.9,5.0,15.9,26.53413,20.10703,67.69594,6.15445,15.29704,21.70257
2.1,14.9,1.0,45.9,18.43034,16.80919,71.96298,1.4306400000000001,22.27951,24.03805
4.1,10.9,4.0,15.9,38.61615,31.96057,84.29772,6.18873,18.58672,25.10048
2.1,8.9,2.0,25.9,23.48615,19.55296,66.6688,3.6478,15.11617,19.00341
